i       p(xi)       cos(xi)     Relative Error
    ___    _________    _________    ______________

      0            0            1               1  
      1      0.99951      0.99951      9.6637e-15  
      2      0.99803      0.99803      6.3308e-13  
      3      0.99556      0.99556      7.2248e-12  
      4      0.99211      0.99211       4.072e-11  
      5      0.98769      0.98769      1.5595e-10  
      6      0.98229      0.98229      4.6793e-10  
      7      0.97592      0.97592      1.1868e-09  
      8      0.96858      0.96858      2.6621e-09  
      9      0.96029      0.96029       5.438e-09  
     10      0.95106      0.95106      1.0321e-08  
     11      0.94088      0.94088      1.8459e-08  
     12      0.92978      0.92978      3.1443e-08  
     13      0.91775      0.91775       5.142e-08  
     14      0.90483      0.90483      8.1232e-08  
     15      0.89101      0.89101      1.2459e-07  
     16      0.87631      0.87631      1.8625e-07  
     17      0.86074      0.86074      2.7228e-07  
     18      0.84433      0.84433      3.9035e-07  
     19      0.82708      0.82708      5.5001e-07  
     20      0.80902      0.80902      7.6321e-07  
     21      0.79016      0.79016      1.0447e-06  
     22      0.77051      0.77051      1.4128e-06  
     23      0.75011      0.75011      1.8899e-06  
     24      0.72897      0.72897      2.5036e-06  
     25      0.70711      0.70711       3.288e-06  
     26      0.68455      0.68455      4.2848e-06  
     27      0.66132      0.66131      5.5455e-06  
     28      0.63743      0.63742      7.1334e-06  
     29      0.61291      0.61291      9.1271e-06  
     30      0.58779      0.58779      1.1624e-05  
     31      0.56209      0.56208      1.4746e-05  
     32      0.53584      0.53583      1.8646e-05  
     33      0.50905      0.50904      2.3518e-05  
     34      0.48177      0.48175      2.9609e-05  
     35      0.45401      0.45399      3.7238e-05  
     36       0.4258      0.42578      4.6822e-05  
     37      0.39717      0.39715      5.8915e-05  
     38      0.36815      0.36812      7.4262e-05  
     39      0.33877      0.33874       9.389e-05  
     40      0.30905      0.30902      0.00011925  
     41      0.27903      0.27899      0.00015245  
     42      0.24874      0.24869      0.00019666  
     43       0.2182      0.21814      0.00025691  
     44      0.18745      0.18738      0.00034156  
     45      0.15651      0.15643      0.00046572  
     46      0.12542      0.12533      0.00065966  
     47     0.094202     0.094108      0.00099403  
     48     0.062896     0.062791       0.0016809  
     49      0.03153     0.031411       0.0037807  
     51    -0.031262    -0.031411       0.0047493  
     52    -0.062624    -0.062791        0.002653  
     53    -0.093923    -0.094108        0.001972  
     54     -0.12513     -0.12533       0.0016458  
     55     -0.15621     -0.15643       0.0014624  
     56     -0.18713     -0.18738       0.0013512  
     57     -0.21786     -0.21814       0.0012819  
     58     -0.24838     -0.24869       0.0012395  
     59     -0.27865     -0.27899       0.0012155  
     60     -0.30864     -0.30902       0.0012051  
     61     -0.33833     -0.33874       0.0012051  
     62     -0.36768     -0.36812       0.0012133  
     63     -0.39666     -0.39715       0.0012285  
     64     -0.42525     -0.42578       0.0012497  
     65     -0.45341     -0.45399       0.0012761  
     66     -0.48112     -0.48175       0.0013073  
     67     -0.50836     -0.50904        0.001343  
     68     -0.53509     -0.53583       0.0013828  
     69     -0.56128     -0.56208       0.0014267  
     70     -0.58692     -0.58779       0.0014745  
     71     -0.61197     -0.61291       0.0015262  
     72     -0.63642     -0.63742       0.0015817  
     73     -0.66023     -0.66131       0.0016411  
     74     -0.68338     -0.68455       0.0017044  
     75     -0.70585     -0.70711       0.0017716  
     76     -0.72763     -0.72897       0.0018429  
     77     -0.74867     -0.75011       0.0019183  
     78     -0.76897     -0.77051        0.001998  
     79     -0.78851     -0.79016        0.002082  
     80     -0.80726     -0.80902       0.0021706  
     81     -0.82521     -0.82708       0.0022639  
     82     -0.84233     -0.84433        0.002362  
     83     -0.85862     -0.86074       0.0024652  
     84     -0.87405     -0.87631       0.0025737  
     85     -0.88861     -0.89101       0.0026877  
     86     -0.90229     -0.90483       0.0028074  
     87     -0.91506     -0.91775        0.002933  
     88     -0.92693     -0.92978        0.003065  
     89     -0.93787     -0.94088       0.0032034  
     90     -0.94787     -0.95106       0.0033487  
     91     -0.95693     -0.96029       0.0035012  
     92     -0.96504     -0.96858       0.0036612  
     93     -0.97218     -0.97592       0.0038292  
     94     -0.97835     -0.98229       0.0040054  
     95     -0.98355     -0.98769       0.0041904  
     96     -0.98776     -0.99211       0.0043846  
     97     -0.99099     -0.99556       0.0045886  
     98     -0.99323     -0.99803       0.0048028  
     99     -0.99448     -0.99951       0.0050278  
    100     -0.99474           -1       0.0052642 
